0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6796281221771525e-22,1.3454431699536344e-33,-1.3758870938327126e-19,5.395229480113404e-20,1.897777187481283e-31,-1.7763568394002496e-17,1.0,3.7166367130130007e-34,3.8787976258251993e-19,-4.8479704564916224e-33,1.0484948719273732e-31,1.0015543749437599e-16,-1.367653756712243e-30,-2.825507517712426e-30,4.1950182260753976e-30,7.503723000241923e-31,-3.9207596305023396e-30,-2.481331248451651e-30,3.4948359425900056e-30,3.9337494564639735e-30,3.1752878623906095e-31
2.404423877389448e-21,2.2860847233198117e-33,-4.528131027065674e-19,2.6010860843910896e-19,3.2040301627088186e-32,-3.552713678800499e-17,1.0,8.50737238191719e-33,1.2765367126369166e-18,1.5262203534701032e-32,2.2395801614307135e-30,2.0031087498875112e-16,6.398138257734145e-30,-1.9045878334003921e-29,-5.436561238882356e-30,1.3555560117244472e-29,2.054555181804477e-29,-2.6010272712164077e-29,-1.1764642836204599e-29,1.7458400279919734e-29,-1.1110283168934238e-29
8.392443478071713e-21,-2.668987500989017e-33,-9.456731799698884e-19,7.167214250961107e-19,-6.866730745207305e-31,-5.329070518200749e-17,1.0,2.91017649514217e-32,2.665970850163188e-18,7.27032691493787e-32,4.638999914618282e-30,3.0046631248312627e-16,1.260248989813611e-29,-2.2803822528801842e-29,-1.5863136926363703e-29,2.0747347022326758e-29,7.924901908614139e-30,-1.5534657577571145e-29,-1.459184428000056e-29,1.6609073306910014e-29,-1.2190457686170416e-30
2.1597606738649076e-20,-1.6695627318018275e-32,-1.616168941173234e-18,1.5220432289551316e-18,-1.6181845549012264e-30,-7.105427357600998e-17,1.0,6.161977927925287e-32,4.556182175161334e-18,1.4925658221592442e-31,7.05559627560701e-30,4.006217499775012e-16,1.5965096489196942e-29,-1.7008482070604385e-29,-2.7304943186138064e-29,1.3710304123139136e-29,1.488449240345328e-29,-8.998640035065624e-30,-6.456068509028376e-30,1.1368170378159183e-29,-4.568573843578795e-30
4.626802362533437e-20,-1.4510079407806915e-32,-2.4643003863166046e-18,2.774326504198853e-18,1.0610442217574865e-30,-8.881784197001248e-17,1.0,1.0510150056369676e-31,6.94717068763136e-18,2.818350400399459e-31,9.143350644670632e-30,5.007771874718777e-16,3.057852532923951e-29,1.2395644615401344e-29,1.2898515487532487e-29,-3.0821566300296234e-29,-1.5226790757901944e-29,-3.36395279713268e-29,3.7048434183414714e-29,8.757837696542681e-30,-6.590195372946166e-29
8.76343289461621e-20,3.040777358180839e-32,-3.4900675154e-18,4.571823735009292e-18,5.554404842683853e-30,-1.0658141036401497e-16,1.0,1.522289375421085e-31,9.838936387573275e-18,5.384938048751968e-31,9.357824505548456e-30,6.009326249662555e-16,5.818401907546717e-29,2.6811338800859666e-29,4.3971334970398095e-29,-6.281732131619733e-29,-8.763044757968636e-30,-1.6658014719650704e-29,3.053205106806299e-29,-1.0266594008373127e-29,-9.423445822051017e-29
1.5190968235097831e-19,1.2013158026116175e-31,-4.6934703284234205e-18,7.012787405567308e-18,9.939392717008777e-30,-1.2434497875801745e-16,1.0,2.000678012232527e-31,1.3231479274987079e-17,9.586059872061801e-31,9.681747898701331e-30,7.010880624606334e-16,9.181735250480837e-29,2.3379490158627004e-29,3.992055013815813e-29,-5.137378485755688e-29,-6.933411923471416e-31,-1.9096324627769396e-29,2.703303604711196e-29,-1.1460815421619061e-29,-9.95692422463665e-29
2.4628976833144984e-19,2.4860813389379473e-31,-6.074508825386865e-18,1.0195470000055596e-17,1.3644710250032397e-29,-1.4210854715201992e-16,1.0,2.435868751962816e-31,1.7124799349872777e-17,1.5332236004375209e-30,8.255542909404678e-30,8.012434999550133e-16,1.2120980854066365e-28,2.0784312032848884e-29,6.05793789372711e-29,-6.205852302344214e-29,3.0004273290572423e-30,1.826472665265603e-29,4.1289775102986003e-29,-4.975795390422666e-29,-9.29361503983262e-29
3.789527962210704e-19,3.972705154947959e-31,-7.633183006290335e-18,1.4218124002656604e-17,1.5040517223171613e-29,-1.598721155460224e-16,1.0,2.861339692050338e-31,2.151889661223038e-17,2.2623754896492106e-30,8.79766658763728e-30,9.013989374493948e-16,1.5335770750906877e-28,-2.635583363109696e-29,3.240417844503768e-29,-4.549785016538483e-29,5.150483475144503e-29,1.4745228605768157e-29,7.323876476717096e-29,-9.913225365708563e-29,-8.840621477773476e-29
5.590595001951203e-19,5.301494957480345e-31,-9.36949287113383e-18,1.9179001897547536e-17,1.249687138739787e-29,-1.7763568394002486e-16,1.0,3.2754553815643733e-31,2.6413771062059904e-17,3.154879949996837e-30,7.952405105803123e-30,1.0015543749437795e-15,1.8573329757330077e-28,-1.0456765229277797e-28,5.0080487181820884e-29,1.661724950818143e-29,8.99921506567461e-31,6.330368799315334e-29,-5.614514543634346e-30,-1.0552565502142962e-28,-4.7816729241251254e-29
7.967531392707016e-19,6.270249495194935e-31,-1.128343841991735e-17,2.517635616891319e-17,8.858960922165947e-30,-1.9539925233402733e-16,1.0,3.605486600836633e-31,3.180942269936136e-17,4.213925027095887e-30,6.1810951365617684e-30,1.1017098124381647e-15,2.19545351841899e-28,-9.730990796065984e-29,4.689375735327926e-29,6.764205100065956e-30,1.2019248563606419e-29,6.454677624860092e-29,-5.740198180210387e-30,-1.1474743064755622e-28,-4.637754042929097e-29
1.103159497306759e-18,6.885887391489233e-31,-1.3375019652640893e-17,3.2308439300936505e-17,5.387011248258053e-30,-2.131628207280298e-16,1.0,3.856471694137657e-31,3.770585152413474e-17,5.448876180097637e-30,4.7151160467195944e-30,1.2018652499325496e-15,2.5508179392000117e-28,-9.628093416329917e-29,4.3005917252908174e-29,3.465518983442862e-30,1.4258966280619724e-29,6.01082209309905e-29,6.660770112074291e-31,-1.148871481655364e-28,-5.290358586652783e-29
1.4903868830040449e-18,7.117792933132233e-31,-1.564423656930446e-17,4.0673503777797955e-17,1.3753557893439088e-30,-2.3092638912203227e-16,1.0,4.067930849648141e-31,4.410305753638004e-17,6.854870982329401e-30,4.154716032654771e-30,1.302020687426935e-15,2.885996248743897e-28,-1.1696841244993603e-28,4.484710021680711e-29,3.2070827776081296e-29,8.033487628474629e-30,5.854202777029451e-29,-8.111250547610844e-30,-1.0310443217170457e-28,-4.520471167322428e-29
1.9715261299050936e-18,6.751120195668906e-31,-1.8091089169908053e-17,5.0369802083674896e-17,-5.349341093185129e-30,-2.486899575160348e-16,1.0,4.284715467115422e-31,5.100104073609726e-17,8.43341775159309e-30,4.440555894526017e-30,1.4021761249213188e-15,3.238011321474334e-28,-1.6414672442632327e-28,6.88842218775621e-29,1.1863326402967982e-28,7.554143917032642e-30,1.5676101026532282e-29,-9.134596848854601e-29,-6.420765281402873e-29,3.2858088526262994e-29
2.5606505963942725e-18,5.629486607815822e-31,-2.071557745445167e-17,6.149558670275346e-17,-1.293428576730256e-29,-2.664535259100373e-16,1.0,4.528390847050333e-31,5.83998011232864e-17,1.0191350110587657e-29,5.008204309675436e-30,1.5023315624157023e-15,3.596718993568843e-28,-1.6625059126528724e-28,6.657106982074441e-29,1.1994790001422025e-28,8.669845723103204e-30,1.5524612918746313e-29,-9.229036073087976e-29,-6.417563768065562e-29,3.4006263025703414e-29
3.2728161656977694e-18,3.7895929639868906e-31,-2.3517701422935313e-17,7.414911011921279e-17,-1.993718830453296e-29,-2.8421709430403983e-16,1.0,4.770746041904885e-31,6.629933869794747e-17,1.2094804602331564e-29,4.725672681066388e-30,1.6024869999100867e-15,3.8600107168269933e-28,-2.093150656201754e-28,1.1408706111681734e-28,1.4609505449656338e-28,-5.73483334508949e-29,-2.814540190408351e-30,-1.2919862726559846e-28,-7.956112056435446e-30,6.97399858493545e-29
4.124061245883597e-18,1.2646917302520366e-31,-2.6497461075358978e-17,8.842862481723798e-17,-2.679829118340522e-29,-3.0198066269804235e-16,1.0,4.9872438783833165e-31,7.469965346008044e-17,1.4115427505855127e-29,4.217348895243466e-30,1.7026424374044709e-15,4.093852968121466e-28,-2.099485584527568e-28,1.1357473160693039e-28,1.4632717720472226e-28,-5.670652403662535e-29,-4.198531048723022e-30,-1.2897086350879832e-28,-8.136172525338949e-30,7.172914069739103e-29
5.1314067698615975e-18,-2.148316638747842e-31,-2.9654856411722666e-17,1.0443238328101007e-16,-3.6504108579444216e-29,-3.1974423109204487e-16,1.0,5.168249278189266e-31,8.360074540968533e-17,1.6273883638400858e-29,3.421139909203706e-30,1.8027978748988542e-15,4.386892679178167e-28,-2.423368372170293e-28,9.643903996614677e-29,1.931061144541004e-28,-5.478062499269292e-29,-6.641144532421556e-30,-1.9236859274789911e-28,-1.2491009535745117e-29,1.189462336885286e-28
6.312856195383439e-18,-6.496279745958438e-31,-3.2989887432026385e-17,1.222586379947129e-16,-4.53688681644477e-29,-3.375077994860474e-16,1.0,5.360310427011849e-31,9.300261454676214e-17,1.8590724072488706e-29,4.095361423361225e-30,1.902953312393237e-15,4.706271132008662e-28,-2.3542223997312045e-28,9.484555643129983e-29,1.7444139249404108e-28,-5.539926433971194e-29,-4.1819925116950637e-29,-1.6316610577279317e-28,6.392642036071637e-30,1.0258784699638072e-28
7.687395505042625e-18,-1.1688329607271087e-30,-3.650255413627013e-17,1.4200564144252948e-16,-5.383474166645216e-29,-3.552713678800499e-16,1.0,5.623066626202125e-31,1.0290526087131086e-16,2.1080861668819002e-29,5.626927167779257e-30,2.003108749887619e-15,5.062967610675533e-28,-2.3035127688751575e-28,7.796060722439307e-29,1.7552443190983616e-28,-5.550541556982851e-29,-4.3357390728647107e-29,-1.6094636767292047e-28,8.361755750120762e-31,9.410093404369691e-29
9.274993206274476e-18,-1.772886105696682e-30,-4.0192856524453895e-17,1.6377164610864137e-16,-6.231706108621754e-29,-3.7303493627405244e-16,1.0,5.96676117986624e-31,1.1330868438333148e-16,2.375423191942656e-29,7.233198159039688e-30,2.1032641873820012e-15,5.42929645886286e-28,-2.290819268781622e-28,7.778819524799624e-29,1.7509328034984322e-28,-5.55259316237357e-29,-4.303703145581296e-29,-1.6096537806237e-28,6.851709457942931e-31,9.413153237507308e-29
1.1096600331356127e-17,-2.459886659657203e-30,-4.406079459657769e-17,1.8765490447722945e-16,-7.053584362262924e-29,-3.9079850466805496e-16,1.0,6.4242730784734725e-31,1.2421288508282403e-16,2.664317414987626e-29,9.789771162761682e-30,2.203419624876384e-15,5.887105942446979e-28,-2.3671204572306047e-28,8.918195881419191e-29,1.9728709839244426e-28,-6.073176981188293e-29,-5.954077648752876e-29,-1.7342089632075495e-28,1.209223201279425e-29,7.641559965612388e-29
1.3174150437406524e-17,-3.230860598715234e-30,-4.810636835264151e-17,2.1375366903247623e-16,-7.903774299479808e-29,-4.085620730620575e-16,1.0,7.123624466575199e-31,1.3561786296978852e-16,2.979357800408213e-29,1.5447651739372502e-29,2.303575062370767e-15,6.425814743034456e-28,-2.662862880360582e-28,6.178885861687423e-29,2.17127654870982e-28,-5.659127136742178e-29,-7.834761596446326e-29,-1.6300033601277283e-28,1.8729932716411454e-29,5.728723434143706e-29
1.553055960638644e-17,-4.0670366209948184e-30,-5.232957779264536e-17,2.4216619225856285e-16,-8.470140778594168e-29,-4.2632564145606e-16,1.0,8.078771820467495e-31,1.475236180442249e-16,3.318725662692066e-29,2.0004012269504446e-29,2.403730499865151e-15,6.884470957086961e-28,-2.4427379816808284e-28,1.2420743720264888e-28,1.898060189108193e-28,-1.0125028323593177e-28,-9.841824377438183e-29,-1.4101539623841435e-28,4.7073366736972674e-29,6.39222350538917e-29
1.818972644509847e-17,-4.951263015824456e-30,-5.673042291658924e-17,2.7299072663967223e-16,-8.95055609442961e-29,-4.440892098500625e-16,1.0,9.2329507180497e-31,1.5993015030613322e-16,3.679580577280387e-29,2.397799667643637e-29,2.5038859373595347e-15,7.313791757506744e-28,-2.446172274796215e-28,1.2523912768453637e-28,1.9024313270670295e-28,-1.0230996910332435e-28,-9.881887326032566e-29,-1.4124582800972975e-28,4.768787336297139e-29,6.449334533792823e-29
2.1176532085187023e-17,-5.88945089801974e-30,-6.130890372447314e-17,3.0632552465998686e-16,-9.514510181879668e-29,-4.618527782440649e-16,1.0,1.058802067208686e-30,1.7283745975551345e-16,4.059963013661567e-29,2.801653519291669e-29,2.6040413748539193e-15,7.688597428995757e-28,-2.5074579192192564e-28,1.205133059515089e-28,2.0289862856412446e-28,-9.3742858742998e-29,-8.176676211544176e-29,-1.351422395395922e-28,3.7672932829168674e-29,7.217677374303646e-29
2.4516840183138346e-17,-6.885719581771068e-30,-6.606502021629706e-17,3.422688388036888e-16,-1.0092245818568839e-28,-4.796163466380674e-16,1.0,1.2143579114122202e-30,1.862455463923656e-16,4.459140463609611e-29,3.200598940102876e-29,2.7041968123483042e-15,8.071410430217273e-28,-2.5051191528050576e-28,1.2264877331710087e-28,2.0018634835548806e-28,-9.515348442218093e-29,-8.342997149489036e-29,-1.3583511647166808e-28,3.535832376022871e-29,6.770389838264402e-29
2.8237496920280503e-17,-7.943482184282892e-30,-7.099877239206101e-17,3.809189215549614e-16,-1.0723719582183567e-28,-4.973799150320698e-16,1.0,1.3888929578323549e-30,2.001544102166897e-16,4.8792307635031313e-29,3.573068314256509e-29,2.804352249842691e-15,8.50138074500905e-28,-2.4321714503242213e-28,1.1039284023877095e-28,2.078464026111287e-28,-9.350472097975045e-29,-5.495283131154043e-29,-1.180851044096178e-28,-3.162229882711571e-30,4.450544721101088e-29
3.2366331002783396e-17,-9.059723998689266e-30,-7.611016025176497e-17,4.2237402539798616e-16,-1.1282559102950175e-28,-5.151434834260722e-16,1.0,1.5814654712062476e-30,2.145640512284857e-16,5.321839871599519e-29,3.9319266821302885e-29,2.9045076873370785e-15,8.955326063577096e-28,-2.3785833922193755e-28,1.1410259467796281e-28,1.847483295838712e-28,-9.718526330915002e-29,-6.058193242945596e-29,-1.0483123532026096e-28,-2.4177337893411082e-30,3.141610998026826e-29
3.693215366165872e-17,-1.0226486722167459e-29,-8.139918379540897e-17,4.6673240281694425e-16,-1.177640412818905e-28,-5.329070518200746e-16,1.0,1.7912435473783484e-30,2.294744694277537e-16,5.788027802054428e-29,4.2707597797185436e-29,3.0046631248314642e-15,9.432675837455105e-28,-2.2054729108117006e-28,1.1768913460916585e-28,1.7287422850754355e-28,-8.450244141285985e-29,-7.716976983980749e-29,-1.0888135615677665e-28,3.4896439195763144e-30,3.8510984170996555e-29
4.196475865275999e-17,-1.1446811656133464e-29,-8.686584302299299e-17,5.140923062960173e-16,-1.2333843021168695e-28,-5.50670620214077e-16,1.0,2.018827224822015e-30,2.448856648144935e-16,6.277548860377179e-29,4.636132241878845e-29,3.1048185623258516e-15,9.892580889240123e-28,-2.7412173981384842e-28,1.4367716855993027e-28,1.6618133787078257e-28,-7.111428690312291e-29,-5.201238831301526e-29,-1.017792623913202e-28,-8.61823470256726e-30,2.729720417061566e-29
4.7494922256782557e-17,-1.272307800885918e-29,-9.251013793451702e-17,5.645519883193896e-16,-1.2885111135397277e-28,-5.684341886080795e-16,1.0,2.2639565240387514e-30,2.607976373887053e-16,6.790196989102798e-29,4.9773066603949737e-29,3.204973999820242e-15,1.0358978727055037e-27,-2.8573079155342734e-28,1.4334206811048074e-28,1.3244049064485376e-28,-6.918518945376856e-29,-2.4496781967250724e-29,-6.647553616493877e-29,-4.460020552606456e-29,-4.641022681566667e-30
